LOCATION,TIME,Value
AUT,2000,6573.7169
AUT,2001,6659.1852
AUT,2002,6482.1603
AUT,2003,6017.1032
AUT,2004,6418.0545
AUT,2005,7095.6048
AUT,2006,7611.7184
AUT,2007,8191.0205
AUT,2008,8538.3867
AUT,2009,9003.8863
BEL,2000,638.0195
BEL,2001,703.7068
BEL,2002,711.5984
BEL,2003,867.2973
BEL,2004,965.845
BEL,2005,1155.7664
BEL,2006,1364.651
BEL,2007,1590.6964
BEL,2008,1910.2585
BEL,2009,2268.1999
CZE,2000,1614.6317
CZE,2001,1740.7185
CZE,2002,1955.1782
CZE,2003,1832.3493
CZE,2004,2013.9104
CZE,2005,2087.217
CZE,2006,2213.0745
CZE,2007,2319.9007
CZE,2008,2518.5154
CZE,2009,2842.6864
DNK,2000,1797.0189
DNK,2001,1952.3681
DNK,2002,2093.4358
DNK,2003,2412.3254
DNK,2004,2667.26
DNK,2005,2839.92
DNK,2006,2889.2783
DNK,2007,3205.5531
DNK,2008,3247.6181
DNK,2009,3300.3216
FIN,2000,7750.7644
FIN,2001,7483.0227
FIN,2002,7785.7241
FIN,2003,7838.2441
FIN,2004,8669.2152
FIN,2005,8085.7984
FIN,2006,8690.7018
FIN,2007,8656.8395
FIN,2008,9142.4238
FIN,2009,8051.8133
FRA,2000,15738.7384
FRA,2001,16586.3791
FRA,2002,15014.5165
FRA,2003,15457.9121
FRA,2004,15716.4464
FRA,2005,15730.0602
FRA,2006,15377.1252
FRA,2007,16650.6225
FRA,2008,18729.5345
FRA,2009,18894.6499
DEU,2000,8983.3047
DEU,2001,9636.3725
DEU,2002,10782.7313
DEU,2003,13761.9938
DEU,2004,16008.2356
DEU,2005,18560.6579
DEU,2006,22650.9253
DEU,2007,26187.2173
DEU,2008,27203.4528
DEU,2009,27084.5905
GRC,2000,1460.0745
GRC,2001,1377.0373
GRC,2002,1456.1622
GRC,2003,1606.4584
GRC,2004,1635.9369
GRC,2005,1704.4306
GRC,2006,1849.4549
GRC,2007,1756.5841
GRC,2008,1755.6817
GRC,2009,1924.2734
HUN,2000,830.2235
HUN,2001,868.3768
HUN,2002,877.2332
HUN,2003,906.1336
HUN,2004,949.6178
HUN,2005,1689.677
HUN,2006,1704.5475
HUN,2007,1883.0754
HUN,2008,1992.7796
HUN,2009,2542.5577
IRL,2000,235.0317
IRL,2001,233.8243
IRL,2002,260.9086
IRL,2003,235.0343
IRL,2004,281.8612
IRL,2005,366.1617
IRL,2006,423.1732
IRL,2007,477.9298
IRL,2008,574.9529
IRL,2009,662.9494
ITA,2000,10112.8263
ITA,2001,10341.0811
ITA,2002,10889.3784
ITA,2003,12909.2691
ITA,2004,12963.4508
ITA,2005,14106.7698
ITA,2006,15326.5148
ITA,2007,16945.8826
ITA,2008,19707.1549
ITA,2009,21026.5278
LUX,2000,38.6509
LUX,2001,40.0236
LUX,2002,38.1186
LUX,2003,41.1995
LUX,2004,49.904
LUX,2005,71.2633
LUX,2006,75.7486
LUX,2007,128.7115
LUX,2008,133.3163
LUX,2009,124.9014
NLD,2000,1342.5031
NLD,2001,1415.1292
NLD,2002,1553.8726
NLD,2003,1517.4299
NLD,2004,1796.2169
NLD,2005,2253.5582
NLD,2006,2401.274
NLD,2007,2505.7864
NLD,2008,2899.0368
NLD,2009,3259.6009
POL,2000,3801.5572
POL,2001,4070.7557
POL,2002,4142.1849
POL,2003,4148.118
POL,2004,4320.7755
POL,2005,4486.4836
POL,2006,4694.93
POL,2007,4823.7692
POL,2008,5559.4164
POL,2009,6244.6794
PRT,2000,3759.3199
PRT,2001,4009.5442
PRT,2002,3551.8869
PRT,2003,4241.2392
PRT,2004,3799.4603
PRT,2005,3474.491
PRT,2006,4212.5107
PRT,2007,4480.6706
PRT,2008,4329.3784
PRT,2009,4785.6331
SVK,2000,488.1294
SVK,2001,767.3031
SVK,2002,745.4023
SVK,2003,646.0531
SVK,2004,729.6282
SVK,2005,808.5532
SVK,2006,834.727
SVK,2007,942.7305
SVK,2008,938.5411
SVK,2009,1131.1049
ESP,2000,6814.9062
ESP,2001,8155.8928
ESP,2002,6894.9599
ESP,2003,9197.601
ESP,2004,8815.372
ESP,2005,8401.1926
ESP,2006,9166.2068
ESP,2007,10012.4303
ESP,2008,10559.5681
ESP,2009,12582.4102
SWE,2000,14741.0958
SWE,2001,14230.2181
SWE,2002,13122.917
SWE,2003,12389.1631
SWE,2004,13148.7123
SWE,2005,14853.5296
SWE,2006,14414.4533
SWE,2007,15196.9611
SWE,2008,15604.2426
SWE,2009,15833.7966
BGR,2000,772.7764
BGR,2001,684.8571
BGR,2002,821.3099
BGR,2003,939.1659
BGR,2004,977.5007
BGR,2005,1094.8648
BGR,2006,1138.3415
BGR,2007,957.831
BGR,2008,1056.3921
BGR,2009,1104.5687
HRV,2000,1557.1749
HRV,2001,1711.9423
HRV,2002,1552.226
HRV,2003,1681.9002
HRV,2004,1847.0527
HRV,2005,1855.4408
HRV,2006,1732.5069
HRV,2007,1536.8779
HRV,2008,1631.3556
HRV,2009,1829.1028
CYP,2000,45.7294
CYP,2001,45.5145
CYP,2002,47.6785
CYP,2003,50.7118
CYP,2004,52.969
CYP,2005,53.7097
CYP,2006,55.8491
CYP,2007,73.2004
CYP,2008,94.9765
CYP,2009,106.3841
EST,2000,512.8499
EST,2001,540.5369
EST,2002,548.1562
EST,2003,577.4195
EST,2004,598.8345
EST,2005,588.5785
EST,2006,530.835
EST,2007,601.6338
EST,2008,649.1784
EST,2009,717.7243
LVA,2000,1190.857
LVA,2001,1302.1067
LVA,2002,1264.5935
LVA,2003,1317.4596
LVA,2004,1452.8949
LVA,2005,1476.3399
LVA,2006,1430.7958
LVA,2007,1406.8848
LVA,2008,1377.461
LVA,2009,1566.8958
LTU,2000,674.5724
LTU,2001,730.2857
LTU,2002,769.9531
LTU,2003,794.0432
LTU,2004,843.3984
LTU,2005,881.1216
LTU,2006,930.7491
LTU,2007,964.0107
LTU,2008,1021.0998
LTU,2009,1051.9968
MLT,2000,0.0
MLT,2001,0.0
MLT,2002,0.2388
MLT,2003,0.3105
MLT,2004,0.406
MLT,2005,0.5255
MLT,2006,0.6449
MLT,2007,0.7882
MLT,2008,0.9076
MLT,2009,0.9315
ROU,2000,4040.5513
ROU,2001,3423.2063
ROU,2002,3749.2262
ROU,2003,4001.7532
ROU,2004,4567.3975
ROU,2005,4940.3412
ROU,2006,4780.8971
ROU,2007,4747.8484
ROU,2008,5343.3317
ROU,2009,5268.5876
SVN,2000,787.604
SVN,2001,776.3112
SVN,2002,715.3005
SVN,2003,713.7957
SVN,2004,821.7588
SVN,2005,773.8511
SVN,2006,770.3282
SVN,2007,735.4488
SVN,2008,852.9664
SVN,2009,1079.5318
